"Policy Name","Rule Followed Action","Rule Action","Rule Name"
"Dataprev_TarefasINSS_Monitor","Dataprev_ELK","None","Custom Violation"
"Dataprev_Block_Volumetria_ConsigWeb","Dataprev_ELK","Block","Custom Violation"
"VULNDB-172806: Service Finder Provider and Business Listing Plugin for WordPress /lib/downloads.php file Parameter Remote File Disclosure","Dataprev_ELK","Block","Custom Violation"
"Exposing Configuration Directories","Dataprev_ELK","Block","Custom Violation"
"Dataprev_TarefasINSS_Block_Automatizado","Dataprev_ELK","Block","Custom Violation"
"Dataprev_ConsultasINSS_Monitor_Automatizado","Dataprev_ELK","None","Custom Violation"
"Dataprev_Auxilio_RateLimit","Dataprev_ELK","None","Custom Violation"
"Dataprev_SIAC_URL-Desativada","Dataprev_ELK","Block","Custom Violation"
"CVE-2020-9392: Pricing Table By Supsystic Plugin for WordPress","Dataprev_ELK","Block","Custom Violation"
"Dataprev_CTPS_Block_URL_Desat.","Dataprev_ELK","Block","Custom Violation"
"CVE-2020-13850: Pandora FMS Multiple File Direct Request Remote Information Disclosure","Dataprev_ELK","Block","Custom Violation"
"Dataprev_GestaoTarefasINSS_Block_GEO","Block_48h","Block","Custom Violation"
"Dataprev_CAT_Monitor","Dataprev_ELK","None","Custom Violation"
"Dataprev_WWW3_Conadem_Block_Aut","Block_15min","Block","Custom Violation"
"Dataprev_FAP_Block_Automatizado_Captcha","Block_2h_SIEM","Block","Custom Violation"
"CVE-2020-6287: SAP NetWeaver AS JAVA LM Configuration Wizard Missing Authentication Remote Command Execution","","Block","Custom Violation"
"CVE-2020-3452: Cisco Adaptive Security Appliance (ASA) Software / Firepower Threat Defense (FTD) Web Services Interface Path Traversal Remote File Disclosure (1)","","Block","Custom Violation"
"CVE-2020-14882: Oracle WebLogic Server RCE","Dataprev_ELK","Block","Custom Violation"
"Dataprev_ProxyMeuINSS_UsuarioInfo","Dataprev_ELK","None","Custom Violation"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","NULL Character in Header Value"
"OCSP Protocol Policy","","None","Invalid Message Content Type"
"Web Profile Policy","Dataprev_ELK","None","Unauthorized Method for Known URL"
"Web Profile Policy","Dataprev_ELK","None","Unauthorized Content Type for Known URL"
"Web Profile Policy","Dataprev_ELK","None","Unknown Parameter"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","NULL Character in Parameter Name"
"Recommended Signatures Policy for Web Applications","Dataprev_ELK","Block","PHP Double Precision Non Convergence DoS"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Slow HTTPS from Multiple Sources"
"Cookie Signing Policy","","None","Missing cookie signature"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Illegal URL Path Encoding"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","Abnormally Long Header Line"
"ThreatRadar - Emergency - GET Requests Signatures","Dataprev_ELK","Block","ThreatRadar - Emergency - GET Requests"
"Recommended Policy for General Applications - Legacy","Dataprev_ELK","Block","Recommended for Blocking for General Applications - Legacy"
"HTTP/2 Protocol Policy","","Block","Settings frame associated with a stream"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Abnormally Long Header Line"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","NULL Character in Method"
"Web Profile Policy","Dataprev_ELK","None","Cookie Injection"
"Web Worm Policy","Dataprev_ELK","Block","Web Worm"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Illegal Response Code"
"Network Protocol Violations Policy","","None","Modified TCP Retransmission Data (client to server only)"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Illegal Content Length"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","Illegal Chunk Size"
"OCSP Protocol Policy","","None","OCSP Message Too Long"
"HTTP/2 Protocol Policy","","Block","Illegal Ping frame length"
"Web Correlation Policy","Dataprev_ELK","None","Session Attribute Changes"
"Hazardous Content Types","Dataprev_ELK","Block","Custom Violation"
"CVE-2013-2143: Katello Input Validation","Dataprev_ELK","Block","Custom Violation"
"CVE-2013-1807: PHP-Fusion File Access","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-0095: Apache Tomcat DoS - Deprecated","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-4942: EasyCart Information Disclosure","Dataprev_ELK","Block","Custom Violation"
"Webdav Method Detection","Dataprev_ELK","None","Custom Violation"
"DoS Mitigation - Resource Response Time (Template Policy)","Dataprev_ELK","None","Custom Violation"
"CVE-2012-4255: MySQLDumper Multiple Script Direct Request Information Disclosure (and others)","Dataprev_ELK","Block","Custom Violation"
"CVE-2016-6293: International Components for Unicode - DOS","Dataprev_ELK","Block","Custom Violation"
"WEB MISC Unauthorized File Access","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - enRoute Credit Card Numbers","Dataprev_ELK","Block","Custom Violation"
"CVE-2011-3833: Support Incident Tracker File Upload PHP CE(and others)","Dataprev_ELK","Block","Custom Violation"
"Anti Google Hacking - 1","Dataprev_ELK","Block","Custom Violation"
"ThreatRadar - Phishing URLs","Dataprev_ELK","Block","Custom Violation"
"ThreatRadar - Emergency - Authenticated Sessions","Dataprev_ELK","Block","Custom Violation"
"HTTP Response Splitting Vulnerability","Dataprev_ELK","Block","Custom Violation"
"eMail Hoarding","Dataprev_ELK","Block","Custom Violation"
"IE Discussion Bar- Access to Internal Information","Dataprev_ELK","None","Custom Violation"
"Directory Traversal (In Cookies/Parameters Value)","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-9180: Eleanor CMS Open Redirect","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-8749: WordPress BulletProof Administrator Access Restriction","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-4134: phpwind Open Redirect","Dataprev_ELK","Block","Custom Violation"
"ATO - Device Intelligence + TOR IP Enforcement","Dataprev_ELK","Block","Custom Violation"
"Malicious File Upload","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-1000008: WordPress MP3-jPlayer Plugin Path Disclosure","Dataprev_ELK","Block","Custom Violation"
"CVE-2017-12615: Apache Tomcat JSP File Upload Remote Code Execution","Dataprev_ELK","Block","Custom Violation"
"WP Marketplace 2.4.0 Remote Command Execution","Dataprev_ELK","Block","Custom Violation"
"Acesso_Automatizado_eSocial","Bloqueia_24_horas","Block","Custom Violation"
"Dataprev_GeridINSS_Block_Username","Block_48h","Block","Custom Violation"
"VULNDB-209683: WPS Hide Login Plugin Bypass #2","Dataprev_ELK","Block","Custom Violation"
"Dataprev_ConsultasINSS_Block_Automatizado","Block_HTTP.Session_1h","Block","Custom Violation"
"Dataprev_SIAC_Automatizado","Dataprev_ELK","Block","Custom Violation"
"CVE-2019-19781: Citrix ADC/Gateway Remote Code Execution","Dataprev_ELK","Block","Custom Violation"
"CVE-2019-17558 - Apache Solr/select Velocity Template Handling Remote Command Execution","Dataprev_ELK","Block","Custom Violation"
"VULNDB-221809: Projectworlds Online Book Store /edit_book.php File Upload Remote Code Execution","Dataprev_ELK","Block","Custom Violation"
"Dataprev_PORTALSAL_Monitor","Block_7_dias","Block","Custom Violation"
"Dataprev_GeridINSS_Monitor_User","Dataprev_ELK","None","Custom Violation"
"Dataprev_GeridINSS_Controle_Automatizado","Dataprev_ELK","Block","Custom Violation"
"Dataprev_Auxilio_Block_Automatizado","Block_SESSION_30min","Block","Custom Violation"
"VULNDB-225682: rConfig search.crud.php noLines Parameter Remote Command Execution","Dataprev_ELK","Block","Custom Violation"
"Dataprev_FAP_Block_Automatizado","Block_15min","Block","Custom Violation"
"VULNDB-229228: CuteNews - Path Traversal Remote File Deletion","Dataprev_ELK","Block","Custom Violation"
"Dataprev_MeuINSS_BOT","Block_15min","Block","Scraping Attack"
"Dataprev_SIAC_KBA_AutomatizadoSession","Block_SESSION_30min","Block","Custom Violation"
"VULNDB-239364: BigTree CMS /index.php/admin/developer/settings/create/ settings Parameter Remote Code Execution","","Block","Custom Violation"
"Dataprev_GeridDTP_Block_Automatizado","Block_2h_SIEM","Block","Custom Violation"
"CVE-2020-13405: Microweber Request Handling Remote Database Disclosure","","Block","Custom Violation"
"VULNDB-236916: Cloudron Surfer auth.js verifyUser() Function Username Handling LDAP Injection Remote DoS","","None","Custom Violation"
"VULNDB-239605: SpinetiX Fusion Digital Signage /fusion/index.php Multiple Parameter Path Traversal Remote File Manipulation - GET","","Block","Custom Violation"
"VULNDB-239604: SpinetiX Fusion Digital Signage /content/files/backups/ Direct Request Handling Remote Database Backup Disclosure","","Block","Custom Violation"
"Dataprev_ProxyMeuINSS_consignacoes","Dataprev_ELK","Block","Custom Violation"
"Dataprev_FAP_Block_Consulta_Auto","Block_24h_SIEM","Block","Custom Violation"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Illegal Byte Code Character in Method"
"ThreatRadar - Emergency - POST Requests Signatures","Dataprev_ELK","Block","ThreatRadar - Emergency - POST Requests"
"Dataprev_DSSI","Long IP Block","Block","Violacao para IP Block"
"Web Profile Policy","Dataprev_ELK","None","Non-SOAP Access to a SOAP Only URL"
"Network Protocol Violations Policy","","None","Unknown IP Option"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Illegal Byte Code Character in Header Name"
"Web Correlation Policy","Dataprev_ELK","None","Too Many of the Same Response Code"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Extremely Long HTTP Request"
"Web Profile Policy","Dataprev_ELK","Block","Unauthorized URL Access"
"Firewall Policy","Dataprev_ELK","Block","Unauthorized Access to Service"
"Recommended Signatures Policy for General Applications","Dataprev_ELK","Block","Worms and Critical Vulnerabilities for General Applications"
"Network Protocol Violations Policy","","None","Bad TCP Option Length"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","NULL Character in Method"
"Network Protocol Violations Policy","","None","TCP - Invalid Data Length in Header"
"HTTP/2 Protocol Policy","","Block","Ping frame associated with a stream"
"Network Protocol Violations Policy","","None","Illegal TCP Option"
"Cookie Signing Policy","","Block","Incorrect cookie signature"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Extremely Long HTTP Request"
"Dataprev Web Correlation Policy","Dataprev_ELK","None","Too Many of the Same Response Code"
"Web Profile Policy","Dataprev_ELK","None","Parameter Type Violation"
"Web Profile Policy","Dataprev_ELK","None","SOAP Access to a Non-SOAP URL"
"Unsuccessful Directory Browsing","Dataprev_ELK","None","Custom Violation"
"Apache Expect Header XSS","Dataprev_ELK","Block","Custom Violation"
"CVE-2013-3350: Adobe ColdFusion Websocket Upgrade","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-3445: HandsomeWeb Unathenticated Backup","Dataprev_ELK","Block","Custom Violation"
"Anti Scraping Policy","Dataprev_ELK","Block","Scraping Attack"
"CVE-2013-4727: Acora CMS Admin Access","Dataprev_ELK","Block","Custom Violation"
"CVE-2013-5760: QNAP Photo Station Access","Dataprev_ELK","Block","Custom Violation"
"Hazardous HTTP request methods - Deprecated","Dataprev_ELK","None","Custom Violation"
"DoS Mitigation - Resource Size (Template Policy)","Dataprev_ELK","None","Custom Violation"
"CVE-2011-3368: Apache Malformed URI","Block_2horas","Block","Custom Violation"
"CVE-2015-3271: Apache Tika Remote File Disclosure","Dataprev_ELK","Block","Custom Violation"
"CVE-2016-6483: vBulletin SSRF","Dataprev_ELK","Block","Custom Violation"
"OS Command Injection via Cookie","Dataprev_ELK","Block","Custom Violation"
"Privacy Violation - Credit Card Number Insertion","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - Application Source Code","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - Developer Comments","Dataprev_ELK","None","Custom Violation"
"ThreatRadar - Bot Protection - Malicious Bots 1","Dataprev_ELK","Block","Custom Violation"
"CVE-2013-6041: Webuzo Remote Command Execution","Dataprev_ELK","Block","Custom Violation"
"ATO - Privileged Account Brute force + Bot Enforcement","Short IP Block","Block","ATO Custom Violation"
"Concal","Long IP Block","Block","Custom Violation"
"XCat boolean XPath injection","Dataprev_ELK","Block","Custom Violation"
"CVE-2017-6526: DnaLIMS Authentication Bypass Vulnerabilities","Dataprev_ELK","Block","Custom Violation"
"CVE-2017-17672: vBulletin Unauthenticated Remote Arbitrary File Deletion","Dataprev_ELK","Block","Custom Violation"
"CVE-2017-12149: JBoss Deserialization RCE","Dataprev_ELK","Block","Custom Violation"
"Dataprev_AlertFileAccess_www3","Block_7_dias","Block","Custom Violation"
"Dataprev_SOM_Block_Suspicious_Response_Code","Block_2horas","Block","Custom Violation"
"VULNDB-198615: Jenkins Remote Command Execution","Dataprev_ELK","Block","Custom Violation"
"CVE-2016-0957: Adobe AEM access bypass","Dataprev_ELK","Block","Custom Violation"
"Dataprev_SOM_BlackList_Customizada","Block_7_dias","Block","Custom Violation"
"Dataprev_SipaINSS_Block_Geo","Block_6horas","Block","Custom Violation"
"VULNDB-221827: CarSpot Automotive Car Dealer Theme for WordPress /search-cars/ ad_id Parameter Remote Information Disclosure","Dataprev_ELK","Block","Custom Violation"
"Dataprev_GestaoTarefasINSS_Detalhar_Block","Dataprev_ELK","None","Custom Violation"
"VULNDB-218005: Centova Cast remote DoS","Dataprev_ELK","Block","Custom Violation"
"Dataprev_Auxilio_Block_Fingerprint ","Dataprev_ELK","Block","Custom Violation"
"CVE-2017-9248: Telerik UI for ASP.NET AJAX - Encryption Keys Disclosure","Dataprev_ELK","Block","Custom Violation"
"CVE-2019-18935: Telerik File Upload Remote Code Execution","Dataprev_ELK","Block","Custom Violation"
"Dataprev_Captura_MTE","Dataprev_ELK","None","Custom Violation"
"Exposed .git directory access","","Block","Custom Violation"
"CVE-2020-14008: ManageEngine Applications Manager WeblogicReference Java Class Reflection Remote Code Execution","","Block","Custom Violation"
"Dataprev_ProxyMeuINSS_SagService_Automatizado_II","Dataprev_ELK","Block","Custom Violation"
"SolarWinds SUPERNOVA Webshell Communication","","Block","Custom Violation"
"Dataprev_FAP_Block_Automatizado_Noite","Block_2h_SIEM","Block","Custom Violation"
"CVE-2020-8193: Citrix Multiple Products Unspecified Authorization Bypass","","Block","Custom Violation"
"VULNDB-237554: File Manager Plugin for WordPress lib/php/connector.minimal.php File Upload Remote Code Execution","","None","Custom Violation"
"Dataprev_GeridMTE_Block_Automatizado","Dataprev_ELK","Block","Custom Violation"
"CVE-2020-24765: Mind Server /api/rs/monitoring/rs/api/system/dump-diagnostic-info Missing Authentication Remote Information Disclosure","","Block","Custom Violation"
"CVE-2020-15943: Gantt-Chart for Jira /user/properties/ userKey Parameter Missing Privilege Check Cross-user Remote Configuration Manipulation","","Block","Custom Violation"
"Network Protocol Violations Policy","","None","SSL Untraceable Connection"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","Illegal Parameter Encoding"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Redundant UTF-8 Encoding"
"XML External Entity Injection","Dataprev_ELK","Block","XML External Entity Injection"
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Illegal Content Type"
"Network Protocol Violations Policy","","None","IP - Too Small TTL"
"HTTP/1.x Protocol Policy","Dataprev_ELK","Block","Illegal Byte Code Character in Query String"
"OCSP Protocol Policy","","Block","Invalid Base64 Request Encoding"
"Dataprev Web Correlation Policy","Block_SESSION_30min","Block","Session Attribute Changes"
"Recommended Signatures Policy for Web Applications","Dataprev_ELK","Block","Recommended for Blocking for Web Applications "
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","Post Request - Missing Content Type"
"WebSocket Exploitation","Dataprev_ELK","Block","WebSocket Exploitation"
"Recommended Policy for Web Applications - Legacy","Dataprev_ELK","Block","Recommended for Blocking for Web Applications - Legacy"
"Web Profile Policy","Dataprev_ELK","None","Reuse of Expired Session's Cookie"
"HTTP/1.x Protocol Policy","Dataprev_ELK","None","Too Many Headers per Request"
"Web Profile Policy","","None","Base64 Decode Failure"
"Recommended Signatures Policy for General Applications","Dataprev_ELK","Block","Recommended for Detection for General Applications "
"HTTP/2 Protocol Policy","Dataprev_ELK","Block","Malformed JSON Message"
"Automated Site Reconnaissance/Access","Dataprev_ELK","Block","Custom Violation"
"Automated Vulnerability Scanning","Dataprev_ELK","Block","Custom Violation"
"Malformed HTTP Attack (Non compatible HTTP Results Error code)","Dataprev_ELK","None","Custom Violation"
"CVE-2013-4822: HP Code Execution","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-0099: Apache Tomcat Request Smuggling","Dataprev_ELK","Block","Custom Violation"
"Cross Site Request Forgery","Dataprev_ELK","Block","Custom Violation"
"CVE-2010-3332: ASP URL Padding Oracle Brute Force","Dataprev_ELK_SIEM","Block","Custom Violation"
"CVE-2012-1823: PHP-CGI Query String Parameter Injection","Dataprev_ELK","Block","Custom Violation"
"CVE-2014-9611: Netsweeper Users And Privileges Management","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - U.S Social Security Number","Dataprev_ELK","Block","Custom Violation"
"Data Leakage - JCB Credit Card Numbers","Dataprev_ELK","Block","Custom Violation"
"CVE-2011-4898: WordPress wp-admin/setup-config.php MySQL Credentials Disclosure(and others)","Dataprev_ELK","Block","Custom Violation"
"Anti Google Hacking - 2","Dataprev_ELK","Block","Custom Violation"
"ThreatRadar - Anonymous Proxies","Dataprev_ELK_SIEM","Block","Custom Violation"
"ThreatRadar - SQL Injection IPs","Dataprev_ELK","Block","Custom Violation"
"Privacy Violation - Credit Card Number Insertion by Internal IP Address","Dataprev_ELK","Block","Custom Violation"
"CVE-2012-5243: Banana Dance Information Disclosure","Dataprev_ELK","Block","Custom Violation"
"CVE-2015-1648: Microsoft IIS Information Disclosure","Dataprev_ELK","Block","Custom Violation"
"CVE-2017-10271: Oracle WebLogic Server","Dataprev_ELK","Block","Custom Violation"
"CVE-2019-15107 - Webmin 1.920 Unauthenticated Remote Code Execution","Dataprev_ELK","Block","Custom Violation"
"CVE-2012-1902: phpMyAdmin show config errors.php Path Disclosure","Dataprev_ELK","Block","Custom Violation"
"Bloqueia_tudo_CWS_BIN","Block_48h","Block","Custom Violation"
"SD_robo","Block_48h","Block","Custom Violation"
"Impede_HISCRE","Short IP Block","Block","Custom Violation"
"Dataprev_Block_Geolocation","Dataprev_ELK","Block","Custom Violation"
"Dataprev_PORTALSAL_Block_GEO","Block_7_dias","Block","Custom Violation"
"Dataprev_Block_W3B2_ConsigWeb_IP","Dataprev_ELK","Block","Custom Violation"
"VULNDB-209683 WPS Hide Login Plugin Bypass #1","Dataprev_ELK","Block","Custom Violation"
"Dataprev_GeridINSS_Block_Username_W3B2","Dataprev_ELK","Block","Custom Violation"
